search_term,title,company,location,salary,date_posted,url,description
software engineer,Graduate Software Engineer,,Brisbane QLD,,22h ago,https://www.seek.com.au/job/83543437?type=standard&ref=search-standalone#sol=dc643a78667e298ce6dd3ed8d6d7941c3e7c4417,"The Opportunity

We are a seeking talented Graduate Software Engineers to join the Boeing Defence Australia Graduate Program in Brisbane. This program offers graduates a permanent full-time position, providing a solid career foundation from day one.

Graduate opportunities are across a range of engineering business units at Boeing which include:

E-7A Wedgetail - The centrepiece of Australia's national air defence capability, incorporating powerful airborne surveillance, communications and battle management capability.
MQ-28 Ghost Bat - Development and integration of mission systems for uncrewed teaming aircraft designed to be a force multiplier in support of advanced multi-mission air combat operations.
Sustainment Operations - Maintenance, repair, overhaul and upgrades of military aircraft including F/A-18F Super Hornets, CH-47F Chinooks and P-8A Poseidons, as well as training design and delivery.
Joint Systems - Design, development and sustainment of defence communications systems and networks.

As a Graduate Software Engineer you will:

Contribute to the development, modification and integration of mechanical products including mounting hardware, packaging solutions and thermal management solutions.
Contribute to the design, modelling and analysis of mechanical products and systems using 3D CAD, FEA and CFD tools.
Contribute to the development of engineering documentation and support configuration management of system hardware.
Communicate and collaborate with a multi-disciplinary team in a conscientious and inclusive way to successfully deliver innovative solutions to the Australian Defence Force.

Your attitude, motivation, willingness to learn and ability to self-task under supervision will determine your success in our team!

Education

Tertiary degree qualification in an engineering, computer science or information technology (or anticipated graduation before July 2025)

Eligibility

Applicants must be Australian Citizens to meet Defence security requirements.

How to apply

Please submit your CV together with a cover letter and your university transcript to be considered.

Our Graduate Program

Our 24-month Graduate Program is designed to equip you with essential skills for a successful transition into full-time work, while also fostering your growth into an experienced professional. Throughout the program, you will engage in professional learning and development, as well as social and collaborative opportunities to expand your Boeing network.

While the Graduate Program has defined learning objectives and a structured framework, your individual journey will be tailored in collaboration with your manager, shaped by business needs and your personal professional development goals. To enhance your exposure and learning, you will remain within one business unit for the entire duration of the program, allowing you to immerse yourself in team dynamics and project work. Over these 24 months, you will not only acquire the technical skills necessary for your role but also develop the interpersonal skills that are vital for a fulfilling career.

About Us

Boeing Defence Australia is shaping the future of aerospace and delivering some of the nation's most important programs for the Australian Defence Force. As a BDA employee, you will join other innovative people who have the critical skills required to develop and deliver world class capabilities and systems to protect Australia and its national interests.  Joining us is a chance to make your mark, working with an inclusive team that is united in pushing the boundaries of imagination and excellence.

At Boeing, we innovate and collaborate to make the world a better place.  From the seabed to outer space you can contribute to work that matters.  We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth.  Find your future with us.

As an equal opportunity employer, female candidates, people of Aboriginal or Torres Strait Island descent and ex-defence personnel are encouraged to apply.

Benefits

Cutting edge projects
Flexible working options
Discounts for travel and accommodation
Salary packaging options
Health and wellbeing benefits
Study assistance

If you are ready to join an innovative industry leader, click Apply Now.

Applications Close: Wednesday 30 April 2025

 

 "
software engineer,Software Developer,,Brisbane QLD,"$80,000 – $100,000 per year",7d ago,https://www.seek.com.au/job/83358603?type=standard&ref=search-standalone#sol=7b5a34c8e7f00b5a7b7321869e20d58620187f09,"Join the revolution in workforce management.

foundU is Australian-grown and managed, home to 70+ passionate people who are committed to accelerating the success of Australian businesses.

We've created a platform that streamlines recruitment, onboarding, rostering, timesheet management, payroll, and reporting for a seamless experience. We’re in the business of building things most people haven’t thought of yet. The pace is fast, and the work is challenging. We dream big, and we fight hard for customer ease.

As a Software Developer, you will be responsible for designing, developing, and implementing foundU software, enabling our clients to keep step with the ever-changing digital landscape. 

In this role, you will:

Assist Senior Software Developers with all aspects of software design and coding.

Write, maintain and test code as per your assigned tasks.

Ensure automated test coverage for your assigned tasks.

Monitor the technical performance of foundU’s systems.

Perform code reviews and provide feedback to your peers.

Collaborate with wider foundU team, leveraging foundU’s technology stack and making localised improvements.

Work with product managers, to obtain information on limitations or capabilities.

Attend and contribute to all agile ceremonies within the foundU agile playbook.

Attend regular team meetings and interactions; providing feedback to leaders, escalating issues according to severity.

Maintain knowledge of the Australian HR, Payroll and Industrial Relations environments.

Our tech stack: 

VueJs, React Native, ES6+, Sass 

Storybook, Cypress, Jest, Webpack, etc. 

Laravel, PHP 

MySQL 

RESTful APIs 

Supporting Services 

AWS(EC2, Aurora, Elasticache, WAF, ALBs, ECS, Lambda, Elasticsearch, etc.) 

Do you have the foundU DNA?

Our people come from all walks of life - we’ve got hipsters and geeks, nurses, and restaurateurs. But the one thing that binds us is a glass-half-full, sleeves rolled up, can-do mentality.

We are looking for someone with:

A Bachelor's degree in computer science or related field.

Knowledge of the software development life cycle.

A desire to work in a fast-paced environment.

The ability to develop unit testing of code components or complete applications.

Experience as a full-stack developer and understand concepts of software engineering.

Experience working on a variety of software development projects.

Deep programming language knowledge.

You’ll get bonus points if you have:

A knack for creative problem solving.

Knowledge of Australian HR/Payroll.

Apply now to be a part of our empowering and supportive culture where everyone makes a difference.

Why join foundU?

Work

We are passionate about promoting from within. We prioritise the development and growth of our team members through up-skilling, cross-training, and maximising their potential. Diversity is celebrated and we strive to foster a culture of inclusiveness for all members of our team.

People and Culture

We’ve cultivated a collaborative team culture where everyone's voice is heard and valued. We are committed to growth and improvement, embracing feedback and suggestions with an open mind. We always strive to enhance what we do and how we do it.

Benefits

An established flexible work policy - ‘Work Anywhere, Anytime’. We encourage our teams to settle on the mix of office vs working from home time that suits them.

A bonus week of annual leave after every 12 months at foundU.

Monthly ‘pocket money’ to purchase anything that supports your working life – such as training courses, an office chair or even a team lunch.

Free coffee from the local café while working from the office.

Dog friendly office

We encourage applicants from diverse backgrounds to apply for roles at foundU, including Aboriginal and Torres Strait Islander, and people of all backgrounds. If you have any support or access requirements, we encourage you to advise us at time of application. We will partner with you to identify the best way to assist you through our recruitment process.

 

Want to learn more? Visit the links below!

www.foundu.com.au

www.foundu.com.au/careers

www.linkedin.com/company/foundu/

 

We respectfully ask recruiters not to contact us regarding assistance with job vacancies. Your understanding is greatly appreciated. Thank you."
software engineer,Senior Software Engineer,,Brisbane QLD,"$130,000 – $170,000 per year",4d ago,https://www.seek.com.au/job/83478071?type=standard&ref=search-standalone#sol=46dd8f3fa97f6ce9cd4dfc336488b638afed7f06,"Our client, a Brisbane based software product start-up, is on the lookout for another software engineer to join their team to assist in the ongoing development and enhancement of their software products. This highly successful business has established itself in the market with it's cutting edge products.

Due to their ongoing success, they are in an organic growth stage and on the hunt for a solid software engineer with experience building complex software ideally in a scientific environment. When it comes to seniority, they are open to mid-level through to quite senior engineers.

Their tech stack is Python/Django & React but they are open to other tech stack experience.

You must have experience in

A minimum of 3 years of experience in full stack software development

Experience building complex software in a language like Python or C++

It is ideal if you have experience with:

Experience in building software using Python & Django

Building applications which process and display large amounts of data

Geospatial data

Database design

Front-end development (ideally using React)

This is a great opportunity to join a highly successful software product start-up with an exciting pipeline of work and well established, industry leading clients.

If this role sounds like you, then please don't hesitate to apply now."
software engineer,Software Developer,,Brisbane QLD,,11d ago,https://www.seek.com.au/job/83279522?type=standard&ref=search-standalone#sol=c24260ff4f3e826f04ae8405a7b249c0d783c8f3,"We are Metro South Health

We are the major public healthcare provider for Brisbane's south side, Logan, Redlands and the Scenic Rim. We operate five major hospitals and a range of community, specialty and state-wide healthcare services. We are renowned for teaching and research excellence.

We are truly dedicated people who care about our community. We come to work to make a difference. We save lives, changes lives and make the world a better place. We overcome the many challenges that come our way by going above and beyond and achieve the best possible outcomes by working together. We are bold, innovative, collaborative, inspiring.

We recognise our strength comes from the diversity of our people and so we encourage people of all genders, ethnicities, ages, abilities, languages, sexual orientation and family responsibilities to apply.

We are committed to creating a diverse and inclusive workplace for our people and our community.

We are part of and proud of the community we serve. We are better together.

Join us at Metro South Health and be part of a world-class, dynamic and growing health service that embraces technology, excellence in health care, teaching, research and empowering our people to be the best in serving our community.

About the Role

The Software Developer position is within the Data and Analytics Team, Addiction and Mental Health Services (AMHS). The position has no direct reports and will be reporting to the Manager, Data & Analytics Team.
This position is responsible for providing high level technical support to ensure AMHS applications meet organisational business needs.
Specific technical tasks include development and maintenance of AMHS applications, including existing SSRS, SSIS and .Net Batch Jobs, and Power Platform applications, deployment of applications to different environments and integration of in-house developed code with vendor packaged software.
Provide advice, recommendations and technical support regarding application development and processes including best practice code design, project structuring, performance, source control, data content and security, interface design and management of release strategies across all operating environments, in accordance with the approved incident management and system maintenance polices. 

Find out about the role in more detail and how to apply in the attached Role Description.

Our values of Integrity, Compassion, Accountability, Respect, Engagement and Excellence, shape our culture within Metro South Health. Our values guide our day-to-day decision making and are fundamental to what we care about as a health service, how we behave, how we interact with each other and provide care to the many patients who come through our doors every day.

We offer rewarding career opportunities across a wide range of clinical and non-clinical areas across our health service and pride ourselves on providing a work environment that is safe, satisfying, flexible, and promotes a healthy work-life balance.

As a Metro South employee, you will benefit from a higher than standard employer contribution to Superannuation of up to 12.75%, access to salary packaging, flexible working arrangements and competitive salary rates with annual incremental increases.

You can find out more about why it's so great to work at Metro South here: www.metrosouth.health.qld.gov.au/join-our-team."
software engineer,Software Engineer,,Brisbane QLD,Strong Salary + Benefits,25d ago,https://www.seek.com.au/job/82965105?type=standard&ref=search-standalone#sol=faaa8fb3751ab8edcb0950d08873d4cba19c82e2,"Global Software Company
Hybrid (Brisbane CBD 3 days/week)
Strong Salary + Super + Bonus
Troocoo are partnering with a global software company to identify a Senior Software Engineer that wants to work in a high-quality, commercial software development team with other like-minded professionals. Our client prides themself on hiring some of the best candidates in the market to work on their complex computational software. They are currently seeking 2 x Senior Software Engineer with excellent technical skills
  
Role 1
  
You will be working with a small but highly effective and collaborative team on a core product offering. Strong commercial experience with Python is essential for this role. Previous experience with cloud-based platforms, particularly in AWS is desirable and any C++ experience is well-regarded. 

Role 2
  
Full Stack Development role, working across C#, .Net and desktop front end and web interface in React (client is open to experience with other modern front-end frameworks).

For more information on these exciting new opportunities, please APPLY NOW or email Mark.Limbrick@Troocoo.com. "
software engineer,Senior Software Engineer,,Brisbane QLD,Base + 14% super,3d ago,https://www.seek.com.au/job/83499226?type=standard&ref=search-standalone#sol=3118a7068dd9df4c9b9be5495b8ce700724744e2,"Take hold of a monster opportunity as a Senior Software Engineer in our Technology Delivery team. If you’re a good fit for this role and live in Brisbane, Sydney or Melbourne, we’d love you to apply.

Why join us?

You'll get 14% super as standard, to help your future come alive.
Unleash your potential and build a career to be proud of through excellent training and development opportunities.
Balance your work between in-person days at our purpose-built hubs and working from home.
In the office, enjoy end of trip facilities, a yoga and multi-faith room, parent and carer rooms, quiet rooms, BrewHub coffee facilities, and collaborative team spaces.

About the role
We’re all about helping our members make the most of their money. And while they go after their goals, you can too. Join Australian Retirement Trust (ART) as a Senior Software Engineer and play a pivotal role in designing, developing, and supporting our application solutions. In this role, you'll be instrumental in helping ART maintain its market-leading position by delivering top-notch application features that benefit our members. You'll work with industry-leading tools, technologies, and practices to ensure our solutions are not only functional but also easy to maintain and future-proof.

As a Senior Software Engineer at ART, you'll be responsible for developing and delivering solutions that align with our technical strategy. You'll assess, analyse, and implement changes based on requests, prioritise and diagnose incidents, and investigate problems to find effective remedies. Your expertise will be crucial in performing code and design reviews, preparing builds, and providing input on scheduling. Additionally, you'll mentor and train team members, promote a culture of continuous improvement, and occasionally work outside normal business hours to meet service levels. If you're ready to take on a challenging and rewarding role, we want to hear from you!

This role is available as a permanent opportunity.

About you
It goes without saying you'll be a great communicator with top notch interpersonal skills. We'll also expect you to pick up problems and come up with quick, creative ways to solve them. It's quite likely you’ll tick some of the following boxes too:

Excellent problem solving, problem management and analytical skills.
High-level of interpersonal, both written and verbal communication skills, including the ability to negotiate, consult and liaise with business, technical and supplier personnel on complex and technical IT issues and to develop and present reports, submissions and recommendations for both technical and non-technical audiences.
Extensive experience at a Senior Level demonstrating expert level skills in Software development and proficiency in tools required for the Software Development of the platform team.
Proven ability to effectively plan, prioritise and manage activities to deliver IT services to meet Business expectations.
Relevant industry experience designing and developing in a medium to large financial organisation.
Knowledge of Solution Delivery Lifecycle methodologies (Waterfall & Agile), Release Coordination and quality assurance processes.
Ability to teach and impart knowledge coherently and effectively.
Demonstrated support experience with complex events processing and high throughput of transaction processing.

About us
Our 2.3 million members trust us to take care of almost $300 billion in retirement savings. And we help them take charge of their finances and face the future with confidence. Our inclusive culture means you’ll be valued and heard in a respectful workplace. We've created an environment where you can be yourself and do amazing work. It's that simple.

Apply online now
Everyone is welcome to apply. We value diverse thinking, cultures, perspectives, backgrounds, and abilities. Awaken your career at Australian Retirement Trust and apply now. Applications close midnight Sunday, 27 April 2025.

We don’t want to leave you with a monstrous wait. So, you’ll hear from us after the closing date to find out whether you’ve made it through to the next round or not. Being fair and up-front is important to us – and recruitment is no different."
software engineer,Software Engineer,,Brisbane QLD,,14d ago,https://www.seek.com.au/job/83198988?type=standard&ref=search-standalone#sol=6c524a724254b670c543b6d5e25719b5f98f216a,"The Opportunity

Boeing Defence Australia is seeking Software Engineers to join the MQ28 Mission Systems team to develop a first of its type autonomous Collaborative Combat Aircraft. Based in Brisbane, you will work within a team developing cutting edge technologies and capabilities, fielded on real platforms.

Experience/Qualifications

Experience with Object-Oriented Design practices and familiarity with C++ and Python
Experience with Linux software development environments
Ability to respond to high level guidance to create a minimum viable product.
Knowledge and experience in the application of Agile Software Development principles
A passion for problem solving and a willingness to learn within a dynamic environment.
Tertiary qualification in Engineering (Software/Mechatronics), Computer Science or Information Technology

Desirable

Skills or domain knowledge in mission systems, electronic warfare, electronic sensors & sensor integration, messaging protocols and data exchange.
Familiarity with and ability to support software test and evaluation.

Eligibility

Applicants must be Australian Citizens to meet defence security requirements.

You may require a Foreign Work Authorisation (FWA) to commence in this position. Please refer to the Department of Defence website to understand your personal obligations.

About Us

Boeing Defence Australia is shaping the future of aerospace and delivering some of the nation's most important programs for the Australian Defence Force. From the seabed to outer space, we have helped shape aerospace and defence innovations in Australia over the past 95 years.

In addition to a competitive salary, our employees benefit from flexible working options, global opportunities, salary packaging, performance incentives, study assistance, wellbeing programs and discounts on health insurance, travel and accommodation.

We're also committed to fostering an environment that's welcoming, respectful and inclusive for every employee, with great opportunities for professional growth.

As an equal opportunity employer, female candidates, people of Aboriginal or Torres Strait Island descent and ex-defence personnel are encouraged to apply. We are also open to candidates from other industries including mining, communications, ICT and oil and gas.

If you don't meet 100% of the criteria for this role although you have the right foundational experience and qualifications, don't hesitate to apply.

Benefits

Cutting edge projects
Flexible working options
Competitive remuneration and incentive plan available
Discounts for health insurance, travel and accommodation
Salary packaging options
Health and wellbeing benefits
Study assistance
Global opportunities

If you are ready to join an innovative industry leader, click Apply Now."
software engineer,Multiple Software Engineers,,Brisbane QLD,,4d ago,https://www.seek.com.au/job/83462577?type=standard&ref=search-standalone#sol=650f733583ee5485c21bc6e3c64c87b9d17e94c8,"Multiple Software Engineer Roles - Federal Government Projects

We are seeking multiple Software Engineers with a variety of experience and expertise, and a strong track record in delivering Federal Government projects.

Australian Citizens with a Baseline clearance are highly desirable for these roles.

Role / Responsibilities:

Work as part of a small specialist or multidisciplinary delivery team to deliver enterprise-class software solutions.
Participate in agile ceremonies including planning, estimation, and design sessions.
Write clean, testable, maintainable, and scalable code that meets stated acceptance criteria.
Collaborate with team members, stakeholders, and other delivery teams to achieve shared outcomes.
Develop and maintain technical documentation throughout the Software Development Life Cycle (SDLC).
Participate in performance discussions and undertake additional duties as directed by the supervisor.
Work under limited supervision, following the department's delivery frameworks.
Supervise, support, and mentor less experienced developers.
Ensure alignment with CI/CD practices and modern development standards.
Engage with stakeholders to gather requirements and translate them into working solutions.

Skills / Experience:

Strong experience with C#, .NET Core, and .NET versions 5-8.
Experience with .NET Framework and Microsoft Web API / REST architecture.
Solid understanding of Vue3 and modern JavaScript/TypeScript frameworks (e.g. React, Angular, jQuery).
Familiarity with CSS frameworks such as Bootstrap.
Experience with CA GEN and coding in R is desirable.
Demonstrated experience delivering IT systems using Microsoft Azure (e.g. App Service, Function App, APIM, Service Bus, Azure SQL).
Experience provisioning and managing cloud infrastructure and Azure Data environments.
Strong grasp of Infrastructure as Code and automation practices using Bash or PowerShell scripting.
Experience with CI/CD pipelines, particularly using Azure DevOps.
Solid experience with SQL Server (2014 and later), with the ability to write and optimise SQL queries.
Experience with unit testing and automated UI testing.
Proficient with Git for source control.
Familiarity with development environments such as Visual Studio 2019/2022, Visual Studio Code, or JetBrains Rider.
Exposure to D365 and PowerApps is a plus.

To be considered for these roles, click APPLY now!"
software engineer,Software Engineer,,Brisbane QLD,Permanent Roles. Annual Bonus.,11d ago,https://www.seek.com.au/job/83278998?type=standard&ref=search-standalone#sol=605f65f3aa14edcf60e11edc1163dc31a1d4f8d2,"The Opportunity

We are looking for Software Engineers to support the Battlespace Communication System (BCS) Program. BCS is a next generation networking product that is the centerpiece for multiple projects and campaigns. The BCS combines both developmental and off the shelf hardware and software to provide world leading communications capability for ADF personnel. It can be rapidly deployed from anywhere, and its modular design provides a flexible, scalable solution that can be customized for various mission needs.

We have a range of opportunities available as we plan for future work. This role will see you applying your software skills to either our core product for Army, upgrading the capability to integrate with related maritime communications projects, or modernization of the joint air battlespace management system.

Our team has a unique culture, which prioritises innovation whilst maintaining a culture of flexibility and fun. We are collaborative, adaptable and outcome-focused. You'll find yourself working in an inclusive team, where people really matter. We work flexibly, with a hybrid in office/ work from home arrangement. 

Responsibilities

Contribute to the development of robust networking and communications software with a focus on cyber security, scalability and performance.
Design, development, integration and test of integrated hardware and software systems.
Write code to solve complex problems
Review pull requests, and provide constructive feedback
Participate in code reviews and provide constructive feedback
The ability to communicate and collaborate with a diverse team, in a conscientious and inclusive way.

Experience/Qualifications

Essential:

Applicants must be Australian Citizens to meet defence security requirements.
We invite a diverse range of people to apply, including people from outside of the defence industry.

 Desirable:

A tertiary qualification in engineering or related technical field
Experience within Defence or complex engineering project environments
Backend or frontend software language and open-source package knowledge (Python, Javascript, C programming, and UI design) are highly desirable.
Experience in building secure applications in a Linux environment
Can take part in all aspects of the software development lifecycle with an agile mindset.
IP networking protocols and implementation of network security

About Us

Boeing Defence Australia is shaping the future of aerospace and delivering some of the nation's most important programs for the Australian Defence Force.  As a BDA employee, you will join other innovative, ethical people who have the critical skills required to develop and deliver world class capabilities and systems to protect Australia and its national interests.  Joining us is a chance to make your mark, working with a diverse team that is united in pushing the boundaries of imagination and excellence.

At Boeing, we innovate and collaborate to make the world a better place.  From the seabed to outer space you can contribute to work that matters with a company where diversity, equity and inclusion are core values.  We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth.  Find your future with us.

Benefits

Flexible working options
Study assistance
Salary packaging
Employee Incentive Program
Global opportunities

We are committed to building a diverse and inclusive workplace.  Female applicants, people of Aboriginal or Torres Strait Island descent and ex-defence personnel are encouraged to apply.

If you are ready to join an innovative industry leader, click Apply Now.

 "
software engineer,Senior Software Engineer,,Brisbane QLD,,10h ago,https://www.seek.com.au/job/83561288?type=standard&ref=search-standalone#sol=c5f98968a1236175ef6298664ad4221a1a0f94be,"About the role

Join our team as a Senior Software Engineer and contribute to the development of a cutting-edge long-horizon mine plan optimization application. Solving the largest problems of its type in the world, this feature-rich .NET desktop application, built with DevExpress and Gurobi, handles complex code and large datasets, emphasizing software performance. Be part of a dynamic team that drives innovation and efficiency in the mining industry.

Responsibilities

The Senior Software Engineer will be an integral part of an Agile team, implementing requirements using the best technical solutions available and solving complex technical problems that other team members may encounter.

Be well informed of the latest technologies and trends in software development in order to develop well engineered results and be proactive in proposing newer and more advanced technical strategies and solutions.

Design and develop new features for our products.
Implement requirements using the best technical solutions available.
Solve complex technical problems that other team members may encounter.
Stay informed of the latest technologies and trends in software development.
Actively participate in Agile ceremonies and peer code reviews.
Collaborate with the broader Digital Products team and other relevant business stakeholders.
Participate in architectural, design, and product/process discussions.
Mentor Junior Developers and contribute to the inclusive and high-performing culture of the team.

About you

If you meet some of these requirements, but not all, we encourage you to submit your application.

Bachelor’s degree in IT, Computer Science, Software Engineering, or a relevant professional qualification.
Minimum of three to five years of relevant experience.
Solid understanding of modern software practices including CI/CD and DevSecOps.
Advanced knowledge in C#, LINQ, automated unit tests (MSTest/NUnit/XUnit), and WinForms.
Strong knowledge in .NET Core, MVC, MS SQL, NLog, Fluent Assertions, Trunk-based development, Azure DevOps.
Experience with test-driven development (unit testing).
Good understanding of concurrency and threading models in .NET.
Database integration and development (SQL, NoSQL).
Version control system experience (TFS/GitHub/GitLab).
Strong knowledge of principles and patterns (SOLID, dependency injection), quality standards.
Excellent communication skills.
Experience in Agile processes, including estimation and planning.

Desirable

Knowledge of mathematical optimization technique such as Mixed Integer Programming (MIP) with experience with MIP solvers such as Gurobi, FICO Xpress, CPLEX, SCIP, or CBC
Experience writing performant C++
CAD, 3D graphics, and integration with existing mining CAD packages (such as Vulcan).
Entity Framework Core.
Parallel and high performance computing
Mine planning optimization (short and long term models)
Prior experience with Azure and Azure DevOps.
Exposure to statistical analysis using tools such as R or Python
React, JavaScript, TypeScript development

About Rio Tinto

Rio Tinto is a leading global mining and materials company. We operate in 35 countries where we produce iron ore, copper, aluminium, critical minerals, and other materials needed for the global energy transition and for people, communities, and nations to thrive.

We have been mining for 150 years and operate with knowledge built up across generations and continents. Our purpose is finding better ways to provide the materials the world needs – striving for innovation and continuous improvement to produce materials with low emissions and to the right environmental, social and governance standards. But we can’t do it on our own, so we’re focused on creating partnerships to solve problems, create win-win situations and meet opportunities.

Every Voice Matters

At Rio Tinto, we particularly welcome and encourage applications from Aboriginal and Torres Strait Islander people, women, the LGBTI+ community, mature workers, people with disabilities and people from different cultural backgrounds.

We are committed to an inclusive environment where people feel comfortable to be themselves. We want our people to feel that all voices are heard, all cultures respected and that a variety of perspectives are not only welcome – they are essential to our success. We treat each other fairly and with dignity regardless of race, gender, nationality, ethnic origin, religion, age, sexual orientation or anything else that makes us different."
